month,commodity_name,avg_modal_price,avg_min_price,avg_max_price,state_name,district_name,calculationType,change
2025-03-01,Maize,2341.58,2191.23,2402.98,India,All,Monthly,-14.43
2025-02-01,Maize,2356.01,2202.35,2414.46,India,All,Monthly,-26.19
2025-01-01,Maize,2382.2,2221.31,2448.22,India,All,Monthly,53.42
2024-12-01,Maize,2328.78,2164.86,2411.66,India,All,Monthly,55.32
2024-11-01,Maize,2273.46,2077.63,2377.78,India,All,Monthly,35.48
2024-10-01,Maize,2237.98,1991.11,2378.7,India,All,Monthly,-155.15
2024-09-01,Maize,2393.13,2204.42,2479.21,India,All,Monthly,-63.61
2024-08-01,Maize,2456.74,2298.02,2506.37,India,All,Monthly,118.68
2024-07-01,Maize,2338.06,2206.41,2396.22,India,All,Monthly,163.33
2024-06-01,Maize,2174.73,2090.89,2250.66,India,All,Monthly,14.27
2024-05-01,Maize,2160.46,2061.65,2226.54,India,All,Monthly,32.92
2024-04-01,Maize,2127.54,2017.03,2206.96,India,All,Monthly,-26.06
2024-03-01,Maize,2153.6,2052.71,2220.01,India,All,Monthly,4.19
2024-02-01,Maize,2149.41,2070.78,2217.12,India,All,Monthly,22.84
2024-01-01,Maize,2126.57,2037.26,2199.37,India,All,Monthly,34.51
2023-12-01,Maize,2092.06,1974.47,2171.79,India,All,Monthly,18.59
2023-11-01,Maize,2073.47,1942.78,2161.7,India,All,Monthly,108.41
2023-10-01,Maize,1965.06,1814.11,2079.59,India,All,Monthly,-59.23
2023-09-01,Maize,2024.29,1931.95,2091.41,India,All,Monthly,-120.95
2023-08-01,Maize,2145.24,2058.22,2216.01,India,All,Monthly,160.48
2023-07-01,Maize,1984.76,1895.67,2052.89,India,All,Monthly,113.4
2023-06-01,Maize,1871.36,1779.53,1943.95,India,All,Monthly,-19.11
2023-05-01,Maize,1890.47,1778.3,1962.59,India,All,Monthly,-114.79
2023-04-01,Maize,2005.26,1893.06,2083.72,India,All,Monthly,-88.09
2023-03-01,Maize,2093.35,2001.72,2156.47,India,All,Monthly,-11.49
2023-02-01,Maize,2104.84,2021.08,2165.52,India,All,Monthly,-22.89
2023-01-01,Maize,2127.73,2043.07,2191.82,India,All,Monthly,41.19
2022-12-01,Maize,2086.54,1976.82,2163.54,India,All,Monthly,78.58
2022-11-01,Maize,2007.96,1859.58,2110.31,India,All,Monthly,60.22
2022-10-01,Maize,1947.74,1785.88,2080.91,India,All,Monthly,-164.07
2022-09-01,Maize,2111.81,2013.74,2188.37,India,All,Monthly,-32.45
2022-08-01,Maize,2144.26,2071.15,2207.29,India,All,Monthly,77.75
2022-07-01,Maize,2066.51,1992.18,2126.71,India,All,Monthly,37.55
2022-06-01,Maize,2028.96,1937.76,2096.14,India,All,Monthly,-10.5
2022-05-01,Maize,2039.46,1927.11,2117.36,India,All,Monthly,-5.43
2022-04-01,Maize,2044.89,1937.28,2114.7,India,All,Monthly,65.84
2022-03-01,Maize,1979.05,1885.57,2038.5,India,All,Monthly,145.76
2022-02-01,Maize,1833.29,1748.51,1885.44,India,All,Monthly,114.33
2022-01-01,Maize,1718.96,1631.08,1779.31,India,All,Monthly,95.19
2021-12-01,Maize,1623.77,1511.99,1701.58,India,All,Monthly,29.07
2021-11-01,Maize,1594.7,1462.78,1686.58,India,All,Monthly,23.46
